(3.0,0.0,0.0,0.0) = (0.0000,0.7417,0.0000,0.2583)
(3.0,0.0,0.0,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.3) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.4) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.5) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.6) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.7) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.8) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,0.9) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.0,1.0) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.0) = (0.0000,0.3773,0.0000,0.6227)
(3.0,0.0,0.1,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.3) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.4) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.5) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.6) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.7) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.8) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,0.9) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.1,1.0) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.0) = (0.0000,0.8185,0.0000,0.1815)
(3.0,0.0,0.2,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.3) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.4) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.5) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.6) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.7) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.8) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,0.9) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.2,1.0) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.0) = (0.0000,0.5462,0.0000,0.4538)
(3.0,0.0,0.3,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.3) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.4) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.5) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.6) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.7) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.8) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,0.9) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.3,1.0) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.0) = (0.0000,0.3009,0.0000,0.6991)
(3.0,0.0,0.4,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.3) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.4) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.5) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.6) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.7) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.8) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,0.9) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.4,1.0) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.0) = (0.0000,0.8617,0.0000,0.1383)
(3.0,0.0,0.5,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.3) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.4) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.5) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.6) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.7) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.8) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,0.9) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.5,1.0) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.6,0.0) = (0.0000,0.6307,0.0000,0.3694)
(3.0,0.0,0.6,0.1) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.6,0.2) = (0.0000,1.0000,0.0000,0.0000)
(3.0,0.0,0.6,0.3) = (0.0000,1.0000,0.0000,0.0000)
